Municipality,n,Openness,sdOpenness,Neuroticism,sdNeuroticism,Extraversion,sdExtraversion,Agreeableness,sdAgreeableness,Conscientiousness,sdConscientiousness
Tallinn,5000,49.841353546363784,9.959366662486893,49.88940015005788,49.88940015005788,50.19741824612657,9.85085823813654,49.934718569486556,9.899330445852614,50.243811621925566,9.924414111246397
Tartu city,5000,49.54649116270631,10.329044952220793,50.531993719838844,50.531993719838844,49.53700629567948,9.724256837086767,50.95849841751628,9.69227958653605,50.10609432920487,10.204582933320516
Pärnu city,2579,47.540070188724556,9.903778360598599,49.095516377232265,49.095516377232265,49.5451784876797,9.110961571449232,50.47453533699269,9.663585790632792,50.81691384557132,9.14652201763864
Saue rural municipality,1383,48.40644201981305,9.784457389301927,49.027392502332795,49.027392502332795,50.44126965916293,9.638864942041971,49.77634351381738,9.900801468878706,51.49887215839396,9.592938755864928
Saaremaa rural municipality,1340,47.647073368701136,10.07784153074959,48.618307224923186,48.618307224923186,48.954359045855355,9.282127515467646,50.4828400558753,9.813941768619399,50.77505625299842,9.457252128426337
Viimsi rural municipality,1203,48.53335099093158,9.648849682883066,48.22741199573892,48.22741199573892,50.77612365826208,9.531850528209018,49.05112388891026,9.588205706231474,51.75036907917827,9.719249095281253
Rae rural municipality,1161,47.90240762019966,9.856492289295634,49.34280185517594,49.34280185517594,50.769669912186274,10.527676694078986,49.01425255580393,9.359402589616709,51.94995658847871,9.866838588845818
Harku rural municipality,949,49.026325746457744,9.94481322077855,48.532962087714694,48.532962087714694,50.899983560164316,9.479125601935985,49.74223934946881,9.767242232189968,51.87669232538694,9.3880215475165
Kambja rural municipality,891,47.39630208265901,9.84432878212857,49.38332260837453,49.38332260837453,50.25465985008898,9.39653449813828,49.841984983760206,9.471101269233557,51.934654943962634,9.31289881713498
Viljandi city,831,47.71479622845059,10.713931223810212,48.88324208825555,48.88324208825555,49.24368434064826,9.47154220997427,50.94271852443296,9.413222330851607,50.8551262859124,9.344432913568468
Rakvere city,747,47.10738588314812,10.365787600506827,48.93605391620354,48.93605391620354,49.61668000327536,9.393003905143901,50.731745820536084,9.58926158277508,51.588903975260656,9.230042163217425
Tartu rural municipality,741,48.155804588157544,10.025928544633027,49.71973602146565,49.71973602146565,50.12547633224833,10.037130784938311,50.07158859306507,9.992970836848809,51.241124976868115,9.812981514528264
Elva rural municipality,680,48.468778419945494,9.549945290872879,49.87031254553532,49.87031254553532,49.3392915330671,9.751719592220716,50.46275169415782,9.952058895154963,50.35449482939084,9.086580998768753
Jõgeva rural municipality,671,47.44840023978998,10.135750990517746,49.11888759452716,49.11888759452716,49.06534147212328,9.78544100004788,50.946250148094784,9.446288983105411,51.18418756145626,9.734906495589415
Saku rural municipality,664,47.72900902663079,9.71087519739677,48.492913005468246,48.492913005468246,50.78032655806964,9.132618589548052,49.85837799872822,9.203514569878855,51.28773773389714,9.198404057292345
Hiiumaa rural municipality,649,47.96246191724971,10.135401530867465,48.393705310731036,48.393705310731036,49.455550308364714,9.268134570989718,50.47570499196619,9.393748580183413,50.35965248320937,9.651778729411829
Viljandi rural municipality,598,47.38093746011703,9.911789955212068,48.48482613083082,48.48482613083082,48.389218947647244,9.351698565545922,50.06284911514981,9.647918013356156,50.83606404708684,9.03112302723553
Haapsalu city,590,48.13046554803932,10.271417863906183,48.13312209942344,48.13312209942344,50.068475998581846,9.272377133176091,50.88594684343504,9.692759518188371,50.66605213024557,10.069027605184651
Rapla rural municipality,565,47.03082731764035,9.92452097344285,49.584032607984796,49.584032607984796,49.254813817442695,9.195758578899728,50.55943495806253,9.521008740657873,50.686594096900116,9.207412078255892
Põlva rural municipality,552,48.177930919309745,10.08787465099287,49.956965319205274,49.956965319205274,48.86286104347414,9.294353367207595,50.71301139827821,9.536197070697051,50.66114310935707,9.448410667986309
Keila city,520,48.185713337822996,10.053608201166732,48.86182430316148,48.86182430316148,49.63442357583136,9.597419843080027,51.28160028969244,9.617153365371676,50.621993538633625,9.574593875128885
Põltsamaa rural municipality,518,46.77680595825289,10.336784700836622,48.86839933568344,48.86839933568344,49.25266284774207,9.381656859922954,50.54516161219013,10.144408329923914,51.21374438106565,8.919791419199916
Tori rural municipality,509,47.06662615742258,10.007229316826965,48.96327258489146,48.96327258489146,49.53172543066149,9.593985255628589,50.32215843252507,9.737200411622222,50.80974556459148,8.56597632138253
Võru city,468,46.78997226006369,9.810584315658835,50.019402284699645,50.019402284699645,49.68137277905719,8.87598080345417,50.55957777717549,9.710344760962407,51.3739139268353,9.156789812114472
Paide city,447,47.2977767385546,9.887925623228071,48.312076244323634,48.312076244323634,48.7663825695171,9.749995054573354,50.42132869353398,9.492894615424914,51.57890395113742,8.977932382634322
Valga rural municipality,401,47.47854024340733,10.589430131774309,49.89813993023681,49.89813993023681,48.73687631742205,9.533080848500603,50.9334403739181,9.201842758730356,51.1151540519164,10.107731712257014
Võru rural municipality,401,47.48281752784152,10.08200315795793,48.060889742569145,48.060889742569145,49.0489674289886,9.308432254954269,50.57626942278641,9.266622359830563,50.49767754688733,9.23295150190126
Kiili rural municipality,400,48.058868511412996,9.445260116907093,48.112251849643556,48.112251849643556,50.60087266798815,9.401185860206326,49.79944209604699,9.657905903224961,51.66185059442094,9.150899124361434
Türi rural municipality,395,48.12830976758657,10.260662963523796,48.68210181900466,48.68210181900466,49.07063874675133,9.522308147518364,50.762607664601184,10.306313734683275,50.479446192971835,8.689815619524945
Lääne-Harju rural municipality,394,49.06998217180132,9.926773229384231,48.1075858724805,48.1075858724805,48.91625224673478,9.66273245480149,48.59738215378207,10.19620695265111,49.91809032228412,9.342888737994286
Tapa rural municipality,362,47.042248930007375,10.955622661766315,48.90020129253926,48.90020129253926,48.64848268148439,9.901605372888145,49.95010662237508,9.640643349805053,50.55996105337113,9.208169796958808
Kastre rural municipality,350,47.866482908142366,9.50269657733892,49.00731357597491,49.00731357597491,49.959512425743746,10.070782328580904,49.0111259424096,9.505984494737218,50.426314147436024,9.849777022543723
Kose rural municipality,350,47.54417911327426,9.87208808150498,48.437179551974985,48.437179551974985,49.65395398944817,9.432196146682557,50.57482543719809,9.412325332831783,50.53080444972317,9.899883302391979
Luunja rural municipality,338,47.19047342294197,10.011332057382724,49.87798631636034,49.87798631636034,50.17535594237678,9.407661816586522,49.34386649152115,9.547892233675451,51.51727071533326,10.018677257208747
Kohila rural municipality,331,47.83426811314965,10.056794017760048,48.20093600807091,48.20093600807091,49.253173545107074,9.455447455431523,49.82978468898408,10.353824350684988,50.520822919917435,9.196781541701776
Jõelähtme rural municipality,310,48.34695876166911,9.655762423100677,48.715588006796715,48.715588006796715,50.43322170717622,9.241210449885147,49.88792410077702,9.252197646313602,52.16713422618551,8.749447377006033
Kuusalu rural municipality,306,49.99192534998851,10.24745737792828,49.40964399263933,49.40964399263933,49.0022644570292,9.547708244408803,51.50248787610629,9.695345966116694,50.98050013580816,9.676650923836776
Järva rural municipality,303,47.288727750051436,10.54628854009673,48.077617825717674,48.077617825717674,49.00081398708107,8.942304195961498,50.3197907444618,10.350371099095575,49.27229997034674,9.31637945975717
Otepää rural municipality,298,48.814649980438276,10.143850684389792,48.1256609484667,48.1256609484667,48.906094011102965,9.150866468187418,50.59662748821973,10.145448662855708,50.64465153568231,9.10766429524102
Põhja-Sakala rural municipality,294,48.14157022619401,10.427192764835228,49.03234090802121,49.03234090802121,48.49688561437445,8.556076586456765,51.0781689137369,9.523652523838821,50.99966553193412,8.394449165099937
Lääne-Nigula rural municipality,287,47.99437920536247,10.634917520711276,48.4374751662328,48.4374751662328,48.55607005387644,9.784628075587023,50.39764989382315,9.501761863670765,50.78344970750946,8.671051120677216
Põhja-Pärnumaa rural municipality,273,47.30496018186946,9.726690285381116,48.14124283048784,48.14124283048784,48.96440932376573,10.240873720641906,50.915903910631826,9.819178005507116,50.716662519451795,8.694886190210095
Narva city,272,47.24865699504598,10.04761263374864,49.428323549359526,49.428323549359526,50.27888216529877,9.25265447227739,48.04421411627396,9.432557192717644,49.59805617928864,8.781484420726706
Nõo rural municipality,263,49.72207218035796,9.703403804195412,48.766118818616036,48.766118818616036,49.0177782496637,9.49005445982383,50.780510798891044,9.607290373902153,49.43358985197076,9.599627066745125
Vinni rural municipality,260,47.71027089509084,10.834165874765896,48.85558662594979,48.85558662594979,48.41347544692212,8.967445301813505,49.90630761851271,9.699937006693462,50.74869218912739,9.343001756728563
Rakvere rural municipality,258,46.56589745360469,9.804782184428994,48.8360287413635,48.8360287413635,49.392517121950966,9.007564182849892,50.552881410801724,9.333914670123784,49.86156391872234,9.571607166743291
Märjamaa rural municipality,247,47.322297950441445,11.561888705364762,48.59257937170276,48.59257937170276,48.24991356479744,9.981730845581215,49.70963567782794,10.507660888956453,50.74419876708295,10.203635451499393
Tõrva rural municipality,246,47.3855747781776,10.223362947400984,50.317553388804846,50.317553388804846,49.37399996971965,9.73524076954994,50.74886534255328,8.56281380274843,50.15824772289616,9.639604645402693
Jõhvi rural municipality,240,46.9237362723007,10.26845219478416,49.23029551365011,49.23029551365011,49.868115615026156,9.122810477938911,50.38821465486779,9.349382041492527,51.311591758862605,8.893424179919656
Raasiku rural municipality,231,47.3598785136355,10.494003281833118,48.754022057977124,48.754022057977124,49.54727232335284,9.240494606696265,48.87123752725162,9.551461470485892,50.162130141992925,9.61257229940356
Haljala rural municipality,228,48.2332690593295,10.195391460394001,49.01083432038689,49.01083432038689,48.89790512274494,8.501745950938435,51.53959513578738,9.021375152135816,50.199979043859145,8.355285164516358
Kadrina rural municipality,226,46.57237987186701,10.180947906520716,49.937303094107016,49.937303094107016,50.21732798734979,8.627828920800118,50.23389754322251,10.453911893331094,50.41744573870565,9.343222234947254
Räpina rural municipality,226,49.02203330407472,10.734228698025266,49.83348851582512,49.83348851582512,48.587960443965486,8.960006926037087,51.21929161320111,10.174654611246712,51.46370061880236,9.9101158810484975
Rõuge rural municipality,224,47.7387369884411,10.803076602639313,48.162308110247146,48.162308110247146,48.23735573123521,8.960122397691427,51.39825728835769,9.39809478518816,49.7897922639419,10.467103875118104
Väike-Maarja rural municipality,218,45.24981735052432,10.189893422162752,47.77278814605933,47.77278814605933,48.97402323478411,9.384715810863854,50.013265148542835,9.42248104224652,50.09666292973492,9.489381998913831
Mulgi rural municipality,217,49.066640144748604,9.531421075639988,49.14159951697019,49.14159951697019,48.097492955023256,9.305958313970352,50.82697028266554,9.91202272086127,50.98701402559182,9.170911730225114
Lääneranna rural municipality,212,48.45717828473161,10.801670474559506,48.60714248028303,48.60714248028303,48.360461882725104,9.215390976684457,50.104564569169376,9.360945427626291,49.20221146431885,9.486037392757027
Kohtla-Järve city,209,47.573400246350076,10.489522370041284,49.641651693505096,49.641651693505096,49.0126084257863,9.918771945502224,50.576778204418154,9.882343375567006,50.92072527385822,9.325197857106733
Häädemeeste rural municipality,204,47.44865465187858,11.084383927267735,48.8896097296126,48.8896097296126,49.56835172801418,8.80022337534265,50.11789601956082,9.779378448285382,50.27390870333377,10.288426222320332
Kanepi rural municipality,200,49.0547691931969,9.875480505740187,49.453220175030616,49.453220175030616,49.88775634229896,8.928077462132832,50.14743844986203,8.845499131230856,49.92406707406245,9.99786555268492
Peipsiääre rural municipality,187,47.56911787005741,10.51762107128271,49.92645761967795,49.92645761967795,48.693277704981114,8.958877366232237,50.425457701017606,9.708538150812572,50.10783746942341,9.540896676457681
Anija rural municipality,184,48.34261911373091,8.725461294271023,49.329705187870466,49.329705187870466,49.158050409596136,9.37960029798923,50.76335084369608,9.193582293098801,52.120883686002486,8.303883401816307
Saarde rural municipality,180,48.13062264131752,10.448861482882121,49.4345836611642,49.4345836611642,49.535157564757284,9.91576432337104,50.850480264401945,9.027485552181272,51.147402681517626,8.887743828222613
Toila rural municipality,179,47.667554457636854,10.029832145440166,48.27902931618124,48.27902931618124,49.423989955144314,9.731590549197461,50.174929557301894,9.574529816571097,51.34795704244138,8.082291383112906
Antsla rural municipality,178,47.772307848663246,8.950745381544676,50.48095061743204,50.48095061743204,49.79767983649072,8.832994351490923,51.9567957853871,9.25125574283047,49.77444101369165,8.900259900135136
Lüganuse rural municipality,173,46.58561325391172,10.292404778342094,48.43773382801738,48.43773382801738,48.54648378918517,8.967902909410531,49.1442039093873,10.028243379407836,51.00419829730742,9.653390604099018
Kehtna rural municipality,172,47.23743397217683,9.4553438690649,50.871173137701874,50.871173137701874,48.59983707776618,9.111436404546007,50.709924035457796,10.057233745195692,50.95914446528557,9.628837156944419
Maardu city,166,48.097488384033745,10.066453928632574,48.80983716988376,48.80983716988376,49.64492770916744,10.03261123833908,49.985472927537685,10.578193830624112,50.89934535020085,10.368769403137726
Alutaguse rural municipality,165,47.38841527526791,9.129670190354826,48.95303895865725,48.95303895865725,49.44353920974952,9.388626434377931,49.67652497879995,10.014775384606725,49.928150856341475,9.066244200086013
Mustvee rural municipality,148,47.30915528732141,9.538145413785927,50.15479308885383,50.15479308885383,49.2179665160299,9.592249103329161,51.246520826941335,10.444464942014491,51.90061336176641,8.716830755239693
Viru-Nigula rural municipality,145,46.44509586416227,10.360491420734924,49.177619362851424,49.177619362851424,48.30071886345986,9.575416605598706,50.474588175317834,9.642695321579353,52.01363394071115,8.68373400815534
Muhu rural municipality,116,49.4232553172297,9.552426767268592,47.52777071593093,47.52777071593093,49.881318082246864,9.127563013944142,49.2614820069961,10.183008052615076,50.5241232302203,9.708735061095885
Setomaa rural municipality,100,48.64786104245003,11.135520449332839,49.99942948871853,49.99942948871853,48.97965063421545,9.931020621529287,51.0626564240771,9.322099627129205,49.473886631874116,9.812970002881046
Sillamäe city,50,47.895770241305776,9.99651008404432,50.97838183191582,50.97838183191582,49.04988251890891,8.75109376919062,50.436292371273595,10.372254591331599,50.86516971142125,10.779855268932442
Kihnu rural municipality,43,47.53040375600995,10.195407023346965,48.93114007790465,48.93114007790465,48.76533234278327,8.83010064495775,50.995186203792684,9.039365992996636,51.060625141295624,11.024758023050511
Narva-Jõesuu city,38,46.82732028490357,10.236194495256917,47.68734083225196,47.68734083225196,49.83765440545904,8.227755896733177,49.33504270200407,10.26733702372567,50.629124299672384,8.069841759453034
Vormsi rural municipality,29,49.49319288145051,7.784386118140111,47.600421054064526,47.600421054064526,52.45776423350382,8.720173136643771,48.82320508848938,8.544873704176275,48.003477767496214,8.602277805958554
Loksa city,25,47.98688304482391,11.759282105292256,47.319124166498206,47.319124166498206,47.07781210035028,8.411793086340097,54.335089584143404,8.418400007113185,51.79260090008774,7.922372632101132
Ruhnu rural municipality,20,55.61400073309726,8.771674397104494,43.40491972206204,43.40491972206204,44.644242745893735,10.209530286171349,44.89495365102211,13.24725115018112,50.549057979414385,9.611103960279598
